,지역,분기,전체 점포수,프랜차이즈 점포수,일반 점포수,길단위 유동인구,주거 인구,직장 인구,개업수,폐업수,개업률,폐업률
108,성동구,2022-1,17381,1334,16047,38730,177.0,49.0,374,259,2.2,1.5
109,광진구,2022-1,19023,1637,17386,51972,196.0,46.0,425,276,2.2,1.5
110,동대문구,2022-1,20946,1482,19464,65974,236.0,55.0,386,275,1.8,1.3
111,중랑구,2022-1,16380,1307,15073,51985,216.0,22.0,365,254,2.2,1.6
112,성북구,2022-1,17133,1541,15592,42234,177.0,45.0,361,266,2.1,1.6
113,강북구,2022-1,13480,1057,12423,34857,130.0,12.0,298,209,2.2,1.6
114,도봉구,2022-1,11820,1016,10804,28954,156.0,17.0,266,174,2.3,1.5
115,노원구,2022-1,18307,1816,16491,25577,147.0,16.0,379,275,2.1,1.5
116,은평구,2022-1,18606,1600,17006,37964,154.0,16.0,439,302,2.4,1.6
117,서대문구,2022-1,14914,1463,13451,52472,180.0,38.0,292,198,2.0,1.2
118,마포구,2022-1,28815,2325,26490,41790,151.0,58.0,679,436,2.4,1.5
119,양천구,2022-1,18644,1645,16999,45985,254.0,78.0,414,287,2.2,1.5
120,강서구,2022-1,26841,2572,24269,26258,135.0,35.0,749,496,2.8,1.8
121,구로구,2022-1,22226,1790,20436,35906,200.0,70.0,403,287,1.8,1.3
122,금천구,2022-1,15708,1324,14384,30785,183.0,100.0,293,211,1.9,1.3
123,영등포구,2022-1,27197,2223,24974,45092,176.0,185.0,540,405,2.0,1.5
124,동작구,2022-1,15636,1484,14152,46606,224.0,44.0,292,195,1.9,1.2
125,관악구,2022-1,19848,1861,17987,42401,166.0,25.0,419,334,2.1,1.7
126,서초구,2022-1,36220,2449,33771,19786,89.0,121.0,617,469,1.7,1.3
127,강남구,2022-1,56417,4135,52282,33895,141.0,293.0,1100,780,1.9,1.4
128,송파구,2022-1,37686,3076,34610,36290,199.0,119.0,772,556,2.0,1.5
129,강동구,2022-1,21314,1941,19373,43742,180.0,29.0,463,308,2.2,1.4
130,서울시 전체,2022-2,577194,45297,531897,36608,159.0,79.0,13730,9001,2.4,1.6
131,종로구,2022-2,24807,1463,23344,21203,63.0,99.0,450,302,1.8,1.2
132,중구,2022-2,37212,1860,35352,47546,126.0,336.0,437,388,1.2,1.0
133,용산구,2022-2,18969,1149,17820,26575,108.0,83.0,438,271,2.3,1.4
134,성동구,2022-2,17463,1319,16144,38776,177.0,49.0,475,295,2.7,1.7
135,광진구,2022-2,19076,1628,17448,52125,196.0,46.0,498,334,2.6,1.8
136,동대문구,2022-2,21022,1481,19541,67266,236.0,55.0,501,302,2.4,1.4
137,중랑구,2022-2,16466,1312,15154,51104,216.0,22.0,439,274,2.7,1.7
138,성북구,2022-2,17176,1528,15648,43375,177.0,45.0,415,233,2.4,1.4
139,강북구,2022-2,13526,1051,12475,34279,130.0,12.0,373,241,2.8,1.8
140,도봉구,2022-2,11843,1013,10830,28677,156.0,17.0,308,226,2.6,1.9
141,노원구,2022-2,18388,1816,16572,25312,147.0,16.0,459,292,2.5,1.6
142,은평구,2022-2,18677,1577,17100,37219,154.0,16.0,485,315,2.6,1.7
143,서대문구,2022-2,14957,1455,13502,53464,180.0,38.0,350,245,2.3,1.6
144,마포구,2022-2,29030,2303,26727,42779,151.0,58.0,893,542,3.1,1.9
145,양천구,2022-2,18705,1637,17068,45514,254.0,78.0,491,346,2.6,1.8
