시군구_코드,시군구_코드_명,행정동_코드,행정동_코드_명
,,11620565,관악구 성현동
,,11620595,관악구 청룡동
,,11620775,관악구 난곡동
,,11620745,관악구 삼성동
,,11620765,관악구 미성동
,,11650510,서초구 서초1동
,,11650520,서초구 서초2동
,,11650530,서초구 서초3동
,,11650531,서초구 서초4동
,,11650540,서초구 잠원동
,,11650550,서초구 반포본동
,,11650560,서초구 반포1동
,,11650570,서초구 반포2동
,,11650580,서초구 반포3동
,,11650581,서초구 반포4동
,,11650590,서초구 방배본동
,,11650600,서초구 방배1동
,,11650610,서초구 방배2동
,,11650620,서초구 방배3동
,,11650621,서초구 방배4동
,,11650651,서초구 양재1동
,,11650652,서초구 양재2동
,,11650660,서초구 내곡동
,,11680510,강남구 신사동
,,11680521,강남구 논현1동
,,11680531,강남구 논현2동
,,11680580,강남구 삼성1동
,,11680590,강남구 삼성2동
,,11680600,강남구 대치1동
,,11680630,강남구 대치4동
,,11680640,강남구 역삼1동
,,11680650,강남구 역삼2동
,,11680655,강남구 도곡1동
,,11680656,강남구 도곡2동
,,11680660,강남구 개포1동
,,11680690,강남구 개포4동
,,11680720,강남구 일원본동
,,11680730,강남구 일원1동
,,11680740,강남구 일원2동
,,11680750,강남구 수서동
,,11680700,강남구 세곡동
,,11680545,강남구 압구정동
,,11680565,강남구 청담동
,,11680610,강남구 대치2동
,,11680670,강남구 개포2동
,,11710510,송파구 풍납1동
,,11710520,송파구 풍납2동
,,11710531,송파구 거여1동
,,11710532,송파구 거여2동
,,11710540,송파구 마천1동
,,11710550,송파구 마천2동
,,11710561,송파구 방이1동
,,11710562,송파구 방이2동
,,11710566,송파구 오륜동
,,11710570,송파구 오금동
,,11710580,송파구 송파1동
,,11710590,송파구 송파2동
,,11710600,송파구 석촌동
,,11710610,송파구 삼전동
,,11710620,송파구 가락본동
,,11710631,송파구 가락1동
,,11710632,송파구 가락2동
,,11710641,송파구 문정1동
,,11710642,송파구 문정2동
,,11710650,송파구 잠실본동
,,11710690,송파구 잠실4동
,,11710710,송파구 잠실6동
,,11710720,송파구 잠실7동
,,11710670,송파구 잠실2동
,,11710680,송파구 잠실3동
,,11710646,송파구 장지동
,,11710647,송파구 위례동
,,11740515,강동구 강일동
,,11740520,강동구 상일동
,,11740530,강동구 명일1동
,,11740540,강동구 명일2동
,,11740550,강동구 고덕1동
,,11740560,강동구 고덕2동
,,11740580,강동구 암사2동
,,11740590,강동구 암사3동
,,11740600,강동구 천호1동
,,11740620,강동구 천호3동
,,11740640,강동구 성내1동
,,11740650,강동구 성내2동
,,11740660,강동구 성내3동
,,11740690,강동구 둔촌1동
,,11740700,강동구 둔촌2동
,,11740570,강동구 암사1동
,,11740610,강동구 천호2동
,,11740685,강동구 길동
