서울시 기준일,서울시 확진자,서울시 추가 확진
2022.01.17.00,242574,790
2022.01.16.00,241784,925
2022.01.15.00,240862,912
2022.01.14.00,239950,939
2022.01.13.00,239014,978
2022.01.12.00,238039,1093
2022.01.11.00,236946,755
2022.01.10.00,236192,781
2022.01.09.00,235415,966
2022.01.08.00,234449,994
2022.01.07.00,233457,1038
2022.01.06.00,232419,1208
2022.01.05.00,231213,1412
2022.01.04.00,229801,938
2022.01.03.00,228867,993
2022.01.02.00,227879,1183
2022.01.01.00,226698,1464
2021.12.31.00,225235,1670
2021.12.30.00,223567,1722
2021.12.29.00,221847,1915
2021.12.28.00,219934,1290
2021.12.27.00,218646,1496
2021.12.26.00,217150,1917
2021.12.25.00,215233,2123
2021.12.24.00,213114,2346
2021.12.23.00,210768,2720
2021.12.22.00,208048,2805
2021.12.21.00,205249,1994
2021.12.20.00,203255,1908
2021.12.19.00,201347,2320
2021.12.18.00,199028,2794
2021.12.17.00,196234,2846
2021.12.16.00,193389,3057
2021.12.15.00,190332,3166
2021.12.14.00,187169,2062
2021.12.13.00,185108,2550
2021.12.12.00,182558,2528
2021.12.11.00,180031,2835
2021.12.10.00,177196,2800
2021.12.09.00,174396,2790
2021.12.08.00,171606,2901
2021.12.07.00,168705,2120
2021.12.06.00,166586,1408
2021.12.05.00,165178,2032
2021.12.04.00,163146,2273
2021.12.03.00,160873,2099
2021.12.02.00,158774,2268
2021.12.01.00,156507,2222
2021.11.30.00,154286,1186
2021.11.29.00,153100,1393
2021.11.28.00,151711,1676
2021.11.27.00,150035,1888
2021.11.26.00,148147,1742
2021.11.25.00,146406,1760
2021.11.24.00,144647,1735
2021.11.23.00,142913,1165
2021.11.22.00,141748,1278
2021.11.21.00,140470,1320
2021.11.20.00,139154,1377
2021.11.19.00,137777,1401
2021.11.18.00,136376,1429
2021.11.17.00,134948,1436
2021.11.16.00,133513,846
2021.11.15.00,132668,859
2021.11.14.00,131809,978
2021.11.13.00,130831,1005
2021.11.12.00,129827,949
2021.11.11.00,128878,1004
2021.11.10.00,127874,973
2021.11.09.00,126901,662
2021.11.08.00,126241,709
2021.11.07.00,125533,848
2021.11.06.00,124685,916
2021.11.05.00,123769,980
2021.11.04.00,122789,946
2021.11.03.00,121843,1004
2021.11.02.00,120840,600
2021.11.01.00,120240,646
2021.10.31.00,119594,760
2021.10.30.00,118834,706
2021.10.29.00,118128,770
2021.10.28.00,117358,788
2021.10.27.00,116572,729
2021.10.26.00,115844,427
2021.10.25.00,115417,455
2021.10.24.00,114962,520
2021.10.23.00,114442,551
2021.10.22.00,113891,519
2021.10.21.00,113372,506
2021.10.20.00,112866,504
2021.10.19.00,112363,298
2021.10.18.00,112065,355
2021.10.17.00,111710,506
2021.10.16.00,111205,586
2021.10.15.00,110620,681
2021.10.14.00,109940,748
2021.10.13.00,109195,583
2021.10.12.00,108617,482
2021.10.11.00,108135,511
2021.10.10.00,107624,583
2021.10.09.00,107041,712
2021.10.08.00,106332,776
2021.10.07.00,105558,837
2021.10.06.00,104723,690
2021.10.05.00,104033,521
2021.10.04.00,103512,574
2021.10.03.00,102939,736
2021.10.02.00,102204,793
2021.10.01.00,101411,916
2021.09.30.00,100495,945
2021.09.29.00,99550,1054
2021.09.28.00,98497,842
2021.09.27.00,97655,778
2021.09.26.00,96877,928
2021.09.25.00,95949,1222
2021.09.24.00,94728,907
2021.09.23.00,93821,645
2021.09.22.00,93176,644
2021.09.21.00,92532,676
2021.09.20.00,91856,583
2021.09.19.00,91273,742
2021.09.18.00,90532,703
2021.09.17.00,89829,746
2021.09.16.00,89083,719
2021.09.15.00,88364,808
2021.09.14.00,87556,539
2021.09.13.00,87018,556
2021.09.12.00,86462,658
2021.09.11.00,85804,659
2021.09.10.00,85145,670
2021.09.09.00,84475,667
2021.09.08.00,83808,671
2021.09.07.00,83138,482
2021.09.06.00,82657,464
2021.09.05.00,82193,508
2021.09.04.00,81685,566
2021.09.03.00,81119,542
2021.09.02.00,80577,559
2021.09.01.00,80019,665
2021.08.31.00,79354,456
2021.08.30.00,78899,444
2021.08.29.00,78455,517
2021.08.28.00,77940,569
2021.08.27.00,77371,557
2021.08.26.00,76814,570
2021.08.25.00,76245,677
2021.08.24.00,75570,438
2021.08.23.00,75136,388
2021.08.22.00,74749,499
2021.08.21.00,74251,526
2021.08.20.00,73725,556
2021.08.19.00,73169,575
2021.08.18.00,72594,510
2021.08.17.00,72086,366
2021.08.16.00,71720,364
2021.08.15.00,71358,488
2021.08.14.00,70870,515
2021.08.13.00,70355,524
2021.08.12.00,69831,526
2021.08.11.00,69306,661
2021.08.10.00,68646,360
2021.08.09.00,68287,415
2021.08.08.00,67872,450
2021.08.07.00,67422,503
2021.08.06.00,66919,464
2021.08.05.00,66455,466
2021.08.04.00,65989,486
2021.08.03.00,65503,311
2021.08.02.00,65193,365
2021.08.01.00,64832,473
2021.07.31.00,64359,476
2021.07.30.00,63883,488
2021.07.29.00,63396,515
2021.07.28.00,62881,573
2021.07.27.00,62308,351
2021.07.26.00,61957,341
2021.07.25.00,61616,489
2021.07.24.00,61128,465
2021.07.23.00,60663,520
2021.07.22.00,60143,499
2021.07.21.00,59644,604
2021.07.20.00,59040,394
2021.07.19.00,58646,419
2021.07.18.00,58227,523
2021.07.17.00,57704,562
2021.07.16.00,57142,570
2021.07.15.00,56573,520
2021.07.14.00,56053,638
2021.07.13.00,55415,417
2021.07.12.00,54998,403
2021.07.11.00,54595,509
2021.07.10.00,54086,509
2021.07.09.00,53577,503
2021.07.08.00,53074,550
2021.07.07.00,52524,583
2021.07.06.00,51941,320
2021.07.05.00,51621,307
2021.07.04.00,51314,289
2021.07.03.00,51026,359
2021.07.02.00,50668,347
2021.07.01.00,50321,334
2021.06.30.00,49987,375
2021.06.29.00,49612,205
2021.06.28.00,49407,185
2021.06.27.00,49222,242
2021.06.26.00,48980,263
2021.06.25.00,48717,269
2021.06.24.00,48448,252
2021.06.23.00,48196,236
2021.06.22.00,47961,132
2021.06.21.00,47829,134
2021.06.20.00,47695,165
2021.06.19.00,47530,197
2021.06.18.00,47333,200
2021.06.17.00,47133,201
2021.06.16.00,46932,201
2021.06.15.00,46732,132
2021.06.14.00,46600,122
2021.06.13.00,46478,176
2021.06.12.00,46302,208
2021.06.11.00,46096,204
2021.06.10.00,45892,213
2021.06.09.00,45679,183
2021.06.08.00,45497,139
2021.06.07.00,45358,159
2021.06.06.00,45199,179
2021.06.05.00,45020,277
2021.06.04.00,44743,206
2021.06.03.00,44537,215
2021.06.02.00,44322,258
2021.06.01.00,44064,147
2021.05.31.00,43917,130
2021.05.30.00,43787,160
2021.05.29.00,43627,194
2021.05.28.00,43433,214
2021.05.27.00,43219,218
2021.05.26.00,43001,262
2021.05.25.00,42739,138
2021.05.24.00,42601,139
2021.05.23.00,42462,181
2021.05.22.00,42281,208
2021.05.21.00,42073,172
2021.05.20.00,41901,242
2021.05.19.00,41659,249
2021.05.18.00,41410,172
2021.05.17.00,41238,195
2021.05.16.00,41043,213
2021.05.15.00,40830,254
2021.05.14.00,40576,231
2021.05.13.00,40345,227
2021.05.12.00,40118,223
2021.05.12.00,40118,223
2021.05.11.00,39895,163
2021.05.10.00,39732,141
2021.05.09.00,39591,195
2021.05.08.00,39396,242
2021.05.07.00,39154,179
2021.05.06.00,38975,212
2021.05.05.00,38763,238
2021.05.04.00,38525,184
2021.05.03.00,38341,127
2021.05.02.00,38214,182
2021.05.01.00,38032,195
2021.04.30.00,37837,227
2021.04.29.00,37610,227
2021.04.28.00,37385,259
2021.04.27.00,37126,116
2021.04.26.00,37010,154
2021.04.25.00,36856,175
2021.04.24.00,36681,253
2021.04.23.00,36428,204
2021.04.22.00,36224,230
2021.04.21.00,35994,218
2021.04.20.00,35776,148
2021.04.19.00,35628,137
2021.04.18.00,35492,205
2021.04.17.00,35287,217
2021.04.16.00,35070,216
2021.04.15.00,34855,217
2021.04.14.00,34638,247
2021.04.13.00,34391,158
2021.04.12.00,34233,162
2021.04.11.00,34071,214
2021.04.10.00,33857,201
2021.04.09.00,33656,215
2021.04.08.00,33441,244
2021.04.07.00,33197,198
2021.04.06.00,32999,147
2021.04.05.00,32852,152
2021.04.04.00,32700,149
2021.04.03.00,32551,155
2021.04.02.00,32397,167
2021.04.01.00,32233,199
2021.03.31.00,32034,158
2021.03.30.00,31876,145
2021.03.29.00,31731,107
2021.03.28.00,31624,138
2021.03.27.00,31486,127
2021.03.26.00,31359,122
2021.03.25.00,31237,127
2021.03.24.00,31110,137
2021.03.23.00,30976,97
2021.03.22.00,30879,109
2021.03.21.00,30775,125
2021.03.20.00,30650,120
2021.03.19.00,30530,146
2021.03.18.00,30384,124
2021.03.17.00,30260,120
2021.03.16.00,30140,79
2021.03.15.00,30061,112
2021.03.14.00,29949,112
2021.03.13.00,29837,140
2021.03.12.00,29697,140
2021.03.11.00,29557,138
2021.03.10.00,29419,138
2021.03.09.00,29281,102
2021.03.08.00,29179,100
2021.03.07.00,29079,132
2021.03.06.00,28947,128
2021.03.05.00,28820,129
2021.03.04.00,28691,118
2021.03.03.00,28573,119
2021.03.02.00,28454,122
2021.03.01.00,28332,92
2021.02.28.00,28240,120
2021.02.27.00,28120,131
